epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,381.616,0.48044,0.39367,1.03644,0.9113,1,0.995,0.77211,0.83304,0.6762,1.49093,0.001148,0.001148,0.001148
144,384.749,0.49529,0.39009,1.05735,0.87872,0.9,0.87622,0.7321,0.86407,0.65065,1.57247,0.001142,0.001142,0.001142
145,388.153,0.46123,0.37544,1.00473,0.87645,0.9,0.86918,0.65858,0.90738,0.65625,1.58514,0.001136,0.001136,0.001136
146,390.928,0.48049,0.39452,1.0419,0.97772,0.9,0.97833,0.69594,1.1245,0.65795,1.7893,0.00113,0.00113,0.00113
147,393.463,0.43285,0.35158,1.00849,0.88873,0.9,0.90167,0.71802,0.72828,0.7613,1.3724,0.001124,0.001124,0.001124
148,396.09,0.48185,0.41065,1.04743,0.91812,0.9,0.97192,0.71834,0.88214,0.68444,1.51744,0.001118,0.001118,0.001118
149,399.578,0.43505,0.34848,1.0142,1,0.97243,0.995,0.72252,0.87646,0.57328,1.55883,0.001112,0.001112,0.001112
150,402.689,0.45132,0.38847,1.03244,0.90437,1,0.95864,0.65777,0.96419,0.61208,1.69713,0.001106,0.001106,0.001106
151,405.232,0.43897,0.3482,1.01283,0.78891,0.9,0.93714,0.72601,0.83905,0.71171,1.53904,0.0011,0.0011,0.0011
152,407.867,0.43129,0.35848,1.01454,0.71227,0.8,0.84499,0.64767,0.93736,1.01002,1.598,0.001094,0.001094,0.001094
153,410.503,0.44588,0.36571,1.0193,1,0.69136,0.91722,0.65594,1.01504,0.93823,1.5612,0.001088,0.001088,0.001088
154,414.369,0.41487,0.35826,1.00156,0.80117,0.9,0.90506,0.69962,0.89489,0.79575,1.46548,0.001082,0.001082,0.001082
155,417.157,0.46238,0.35828,1.02507,0.76498,0.97788,0.92885,0.67719,0.92607,0.86513,1.56842,0.001076,0.001076,0.001076
156,419.583,0.4598,0.35539,1.01455,0.8224,0.6,0.81881,0.55158,0.90094,1.12107,1.54048,0.00107,0.00107,0.00107
157,421.947,0.43382,0.35515,1.0061,0.6685,0.9,0.76514,0.5103,0.99385,1.35375,1.50885,0.001064,0.001064,0.001064
158,424.343,0.4576,0.34452,1.01243,0.75331,0.7,0.77346,0.57579,0.66702,1.23935,1.3642,0.001058,0.001058,0.001058
